Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,CCGT,6136
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,COAL,0
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTELEC,998
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTEW,-6
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTFR,1504
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTGRNL,-514
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTIFA2,-2
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTIRL,-450
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTNED,776
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTNEM,718
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTNSL,1398
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,INTVKL,1426
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,NPSHYD,267
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,NUCLEAR,2972
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,OCGT,2
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,OIL,0
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,OTHER,612
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,PS,24
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,WIND,4408
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,BIOMASS,2411
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,CCGT,5927
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,COAL,0
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTELEC,998
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTEW,-72
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTFR,1502
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTGRNL,-514
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTIFA2,-2
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTIRL,-452
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTNED,1048
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTNEM,916
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTNSL,1398
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,INTVKL,1426
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,NPSHYD,273
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,NUCLEAR,2973
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,OCGT,2
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,OIL,0
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,OTHER,463
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,PS,-16
FUELHH,2026-06-10T11:00:00Z,2026-06-10T10:30:00Z,2026-06-10,24,WIND,4587
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,BIOMASS,2412
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,CCGT,6381
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,COAL,0
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTELEC,998
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTEW,-70
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTFR,1502
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTGRNL,-514
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTIFA2,-2
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTIRL,-404
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTNED,1052
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTNEM,918
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTNSL,1398
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,INTVKL,1426
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,NPSHYD,308
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,NUCLEAR,2972
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,OCGT,2
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,OIL,0
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,OTHER,548
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,PS,-16
FUELHH,2026-06-10T10:30:00Z,2026-06-10T10:00:00Z,2026-06-10,23,WIND,4407
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,BIOMASS,2411
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,CCGT,6898
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,COAL,0
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTELEC,998
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTEW,-18
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTFR,1502
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTGRNL,-514
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTIFA2,-2
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTIRL,-350
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTNED,1050
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTNEM,1016
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTNSL,1398
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,INTVKL,1426
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,NPSHYD,409
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,NUCLEAR,2973
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,OCGT,2
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,OIL,0
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,OTHER,510
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,PS,-52
FUELHH,2026-06-10T10:00:00Z,2026-06-10T09:30:00Z,2026-06-10,22,WIND,4340
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,BIOMASS,2412
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,CCGT,7485
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,COAL,0
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTELEC,998
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTEW,-152
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTFR,1504
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTGRNL,-514
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTIFA2,-2
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTIRL,-356
